Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
22-Feb-23,EQ,435.3,435.85,428.25,436.5,428.8,429.45,431.2,500.4,366.2,"72,09,130","3,10,85,42,015.10","1,32,853"
21-Feb-23,EQ,445.2,445.2,435.25,443,436.2,436.5,440.11,500.4,366.2,"89,57,930","3,94,24,99,886.25","1,65,217"
20-Feb-23,EQ,441.8,445.3,436.25,439.9,442.15,443,441.37,500.4,366.2,"97,17,197","4,28,88,69,342.40","1,48,264"
17-Feb-23,EQ,436,442.45,436,441.6,439.6,439.9,440.3,511.5,366.2,"69,55,445","3,06,24,55,950.25","1,28,577"
16-Feb-23,EQ,445,448.25,440.5,444.15,440.85,441.6,443.43,511.5,366.2,"76,70,688","3,40,14,48,898.50","1,35,525"
15-Feb-23,EQ,438.5,444.9,438.15,440.55,443.65,444.15,441.35,511.5,366.2,"98,57,016","4,35,03,53,618.35","1,65,475"
14-Feb-23,EQ,442,444.3,434.4,441.05,440.8,440.55,439.74,511.5,366.2,"85,65,559","3,76,65,84,785.50","1,65,241"
13-Feb-23,EQ,445.5,446.9,438.9,445.85,441,441.05,441.95,511.5,366.2,"83,33,767","3,68,31,46,606.05","1,38,344"
10-Feb-23,EQ,437.95,447.8,431.2,436.75,444.4,445.85,440.73,511.5,366.2,"1,47,98,390","6,52,20,76,821.95","2,39,763"
09-Feb-23,EQ,440,440.7,433.55,440.1,436.8,436.75,436.02,511.5,366.2,"73,49,418","3,20,44,65,989.70","1,00,774"
08-Feb-23,EQ,435.45,441,431.55,435.45,440.05,440.1,437.21,511.5,366.2,"86,68,267","3,78,98,95,025.35","1,41,672"
07-Feb-23,EQ,441.7,443.4,432.9,442,435.3,435.45,436.64,511.5,366.2,"90,23,645","3,94,00,63,886.30","1,15,344"
06-Feb-23,EQ,444.45,447,439.55,445.45,441.7,442,442.71,511.5,366.2,"67,95,084","3,00,82,54,384.10","1,09,590"
